IdSensore,Tipologia,Unità DiMisura,IdStazione,NomeStazione,Quota,Provincia,NomeComune,Indirizzo,CGB_Nord,CGB_Est,lng,lat,location
11655,Velocità Vento Scalare,m/s,134,Bargnano,93,BS,Corzano,via Silvio Pellico,5031679,1581299,10.03903128,45.43372814,"(45.43372814, 10.03903128)"
11656,Velocità Vento Scalare,m/s,136,Persico Dosimo,44,CR,Persico Dosimo,SP40 km14 - c/o ist. Agrario Stanga,5001693,1583242,10.05882758,45.16363125,"(45.16363125, 10.05882758)"
11657,Velocità Vento Scalare,m/s,137,Rivolta d` Adda (ersaf) *,102,CR,Rivolta d'Adda,c\o Ist. Spallanzani,5032437,1540748,9.52069894,45.44409211,"(45.44409211, 9.52069894)"
11658,Velocità Vento,m/s,139,Mantova Cerese,19,MN,Virgilio,via T.Nuvolari loc. Virgilio c/o campo sportivo,4997314,1641035,10.79265692,45.11504753,"(45.11504753, 10.79265692)"
11659,Velocità Vento Scalare,m/s,212,Canzo - M. Prasanto,"1,233",CO,Canzo,via San Miro,5077245,1524728,9.31813681,45.84814356,"(45.84814356, 9.31813681)"
11660,Velocità Vento Scalare,m/s,214,Bigarello,15,MN,Bigarello,via Carpaneta 7,5005643,1648276,10.887137,45.18849864,"(45.18849864, 10.887137)"
11661,Velocità Vento Scalare,m/s,832,Palù,"2,155",SO,Lanzada,SAN GIUSEPPE,5126947,1567978,9.88221942,46.29249997,"(46.29249997, 9.88221942)"
11662,Velocità Vento Scalare,m/s,833,Gerola - Pescegallo *,"1,845",SO,Gerola Alta,PESCEGALLO,5097009,1544831,9.57888786,46.02500064,"(46.02500064, 9.57888786)"
11663,Velocità Vento Scalare,m/s,835,Oga S. Colombano,"2,295",SO,Valdisotto,FORTE DI OGA,5146182,1603177,10.34333681,46.46111472,"(46.46111472, 10.34333681)"
11664,Velocità Vento Scalare,m/s,836,Aprica *,"1,950",SO,Aprica,MAGNOLTA,5111234,1589565,10.15944817,46.14860764,"(46.14860764, 10.15944817)"
11665,Velocità Vento Scalare,m/s,846,Pantano d`Avio *,"2,105",BS,Edolo,RIFUGIO GARIBALDI,5114565,1613558,10.47083922,46.17499883,"(46.17499883, 10.47083922)"
11666,Velocità Vento Scalare,m/s,847,Carisole,"1,950",BG,Carona,RIFUGIO MIRTILLO,5098976,1561712,9.79722861,46.04138761,"(46.04138761, 9.79722861)"
